               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052707,            0.015141,            0.012778,             0.45279,             0.40024,             0.37968,             0.19835,            0.034744,            0.011544,            0.010105,           0.0033318,           0.0033318,            0.070014
                   1,            0.050033,             0.01247,           0.0080234,             0.39173,             0.44298,             0.33125,             0.15658,            0.036631,            0.011518,            0.013525,           0.0066585,           0.0066585,            0.040007
                   2,            0.052545,            0.012981,           0.0083453,              0.4545,             0.13053,            0.093206,            0.028638,             0.04087,            0.011559,            0.020554,           0.0099787,           0.0099787,           0.0099942
                   3,            0.055582,            0.013656,            0.010715,             0.62954,             0.17575,             0.11011,            0.031403,            0.041673,            0.010816,            0.022842,           0.0099703,           0.0099703,           0.0099703
                   4,            0.052763,            0.013281,           0.0075129,             0.70197,             0.16873,             0.14445,            0.044804,            0.041823,            0.010833,            0.035678,           0.0099703,           0.0099703,           0.0099703
                   5,            0.051069,            0.013022,            0.006782,             0.72242,             0.17514,             0.17092,            0.053902,            0.041518,            0.010163,            0.022741,           0.0099604,           0.0099604,           0.0099604
                   6,            0.049276,            0.012343,            0.005686,             0.71589,             0.20801,             0.19971,            0.060977,            0.040648,           0.0094781,            0.022424,           0.0099505,           0.0099505,           0.0099505
                   7,            0.047336,               0.012,           0.0043345,             0.78082,             0.22945,              0.2325,             0.08453,            0.039123,           0.0098701,            0.022416,           0.0099406,           0.0099406,           0.0099406
                   8,            0.046758,            0.011856,           0.0042251,             0.78256,             0.23344,             0.23588,            0.083214,            0.039181,           0.0094727,            0.021803,           0.0099307,           0.0099307,           0.0099307
                   9,            0.044949,            0.011487,           0.0035228,             0.82111,             0.22192,             0.25538,            0.098164,            0.037286,           0.0096236,            0.024189,           0.0099208,           0.0099208,           0.0099208
                  10,             0.04366,            0.010922,           0.0027257,             0.85616,              0.2618,             0.31195,             0.11989,            0.037262,           0.0092637,            0.021806,           0.0099109,           0.0099109,           0.0099109
                  11,             0.04296,            0.011214,           0.0027737,             0.86727,             0.29673,              0.3344,             0.12621,            0.037831,           0.0085399,            0.021064,            0.009901,            0.009901,            0.009901
                  12,            0.042226,            0.010761,           0.0025569,              0.8228,             0.29133,             0.30985,             0.11908,            0.037604,           0.0091345,            0.021115,           0.0098911,           0.0098911,           0.0098911
                  13,            0.041451,            0.010616,           0.0023552,             0.86539,             0.30174,             0.33375,             0.13702,            0.037192,           0.0087871,            0.022519,           0.0098812,           0.0098812,           0.0098812
                  14,            0.039976,            0.010196,           0.0022207,             0.90154,             0.29806,             0.34763,             0.15123,             0.03628,           0.0084605,            0.022987,           0.0098713,           0.0098713,           0.0098713
                  15,            0.039549,            0.010234,           0.0019792,             0.88722,             0.29326,             0.34117,               0.144,            0.036959,           0.0084597,            0.023592,           0.0098614,           0.0098614,           0.0098614
                  16,            0.039415,            0.010025,           0.0023185,             0.90105,             0.29289,             0.35567,               0.162,            0.034818,           0.0087071,            0.021143,           0.0098515,           0.0098515,           0.0098515
                  17,            0.039875,            0.010409,           0.0026696,             0.91616,              0.3083,             0.35721,             0.16102,            0.035059,            0.008765,            0.023365,           0.0098416,           0.0098416,           0.0098416
                  18,             0.03781,           0.0097563,           0.0020357,             0.90602,             0.31106,             0.36187,             0.17335,            0.036149,            0.008252,             0.02285,           0.0098317,           0.0098317,           0.0098317
                  19,            0.037649,           0.0095232,           0.0019742,             0.91653,             0.32673,             0.37441,             0.17383,            0.035771,           0.0082951,            0.023089,           0.0098218,           0.0098218,           0.0098218
                  20,            0.037085,           0.0097798,            0.001974,             0.88897,              0.3232,             0.36589,             0.16728,            0.034603,           0.0085352,            0.022558,           0.0098119,           0.0098119,           0.0098119
                  21,            0.036711,           0.0095254,           0.0018241,             0.91663,              0.3353,             0.37936,             0.19077,            0.034392,           0.0081638,            0.021121,            0.009802,            0.009802,            0.009802
                  22,            0.035526,            0.009229,           0.0019465,              0.9186,             0.33757,             0.38085,             0.18945,            0.034244,           0.0079809,            0.022257,           0.0097921,           0.0097921,           0.0097921
                  23,            0.034999,           0.0090799,           0.0017988,             0.94067,             0.34036,             0.38596,             0.20355,            0.034389,           0.0080073,            0.021042,           0.0097822,           0.0097822,           0.0097822
                  24,            0.035065,           0.0091969,           0.0020265,              0.9435,             0.32946,             0.38358,             0.19106,            0.033333,           0.0082527,            0.021284,           0.0097723,           0.0097723,           0.0097723
                  25,            0.035034,           0.0088538,           0.0019438,             0.94558,              0.3373,             0.39147,             0.20935,            0.032987,           0.0081109,            0.021304,           0.0097624,           0.0097624,           0.0097624
                  26,            0.033999,           0.0089111,            0.001734,             0.95574,             0.34392,             0.39525,             0.21286,            0.032709,           0.0077496,            0.021275,           0.0097525,           0.0097525,           0.0097525
                  27,            0.033464,           0.0087742,            0.001767,             0.94203,             0.34836,             0.38921,             0.21648,            0.033419,           0.0078786,            0.022702,           0.0097426,           0.0097426,           0.0097426
                  28,            0.033601,           0.0087996,           0.0016657,             0.94545,             0.34345,             0.39402,               0.226,             0.03264,           0.0079154,            0.021248,           0.0097327,           0.0097327,           0.0097327
                  29,            0.033044,           0.0086187,           0.0015317,              0.9448,              0.3457,              0.3964,             0.23011,            0.032373,           0.0079974,            0.020386,           0.0097228,           0.0097228,           0.0097228
                  30,            0.032471,           0.0085188,           0.0014226,             0.92975,             0.34494,             0.39534,             0.23068,            0.032651,           0.0077302,            0.019948,           0.0097129,           0.0097129,           0.0097129
                  31,            0.031282,           0.0083165,           0.0015056,             0.94026,             0.36248,             0.39937,             0.24134,            0.031864,           0.0077724,             0.02084,            0.009703,            0.009703,            0.009703
                  32,            0.031552,           0.0082282,            0.001452,             0.95589,              0.3558,             0.40179,             0.24681,            0.032045,           0.0076595,            0.021189,           0.0096931,           0.0096931,           0.0096931
                  33,             0.03134,           0.0083001,           0.0016195,             0.95449,             0.35614,             0.40046,              0.2431,            0.032243,           0.0074386,            0.022361,           0.0096832,           0.0096832,           0.0096832
                  34,            0.031142,           0.0081217,           0.0013892,             0.96849,             0.35231,              0.4065,             0.25533,            0.031292,           0.0073832,            0.021919,           0.0096733,           0.0096733,           0.0096733
